*********************[2016-04-20 12:13:44:863 | 7 ] Status: Start Running*********************
[2016-04-20 1:18:24:378 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:24:381 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:24:382 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:24:383 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:24:383 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:24:384 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:25:464 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:25:465 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:25:466 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:25:467 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:25:467 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:25:467 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:25:468 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:25:468 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:25:468 | 7 ] Algorithm: send OKAY 7 to 5
[2016-04-20 1:18:25:468 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:25:469 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:25:470 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:25:471 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:25:472 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:25:472 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:25:473 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:25:474 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:25:474 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:25:475 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:25:475 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:25:476 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:25:476 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:25:476 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:25:476 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:27:670 | 7 ] Algorithm: send OKAY 7 to 5
[2016-04-20 1:18:27:671 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:27:671 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:27:671 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:27:672 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:27:672 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:27:672 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:27:672 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:27:673 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:27:673 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:27:674 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:27:674 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:27:674 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:27:674 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:27:674 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:27:674 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:28:264 | 7 ] Algorithm: send OKAY 7 to 0
[2016-04-20 1:18:28:264 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:28:264 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:28:265 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:28:265 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:28:265 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:28:266 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:28:266 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:28:268 | 7 ] Algorithm: send OKAY 7 to 2
[2016-04-20 1:18:28:282 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:28:283 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:28:283 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:28:284 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:28:284 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:28:284 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:28:284 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:28:285 | 7 ] Algorithm: send OKAY 7 to 6
[2016-04-20 1:18:28:285 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:28:285 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:28:285 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:28:285 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:28:286 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:28:286 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:28:286 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:28:286 | 7 ] Algorithm: send OKAY 7 to 5
[2016-04-20 1:18:28:287 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:28:288 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:28:288 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:28:288 | 7 ] SendResult Error: Crash Error 3
[2016-04-20 1:18:28:289 | 7 ] Algorithm: send Result 7 to 4
[2016-04-20 1:18:28:289 | 7 ] Algorithm: send Result 7 to 5
[2016-04-20 1:18:28:290 | 7 ] Algorithm: send Result 7 to 6
[2016-04-20 1:18:28:291 | 7 ] Algorithm: send OKAY 7 to 5
[2016-04-20 1:18:28:291 | 7 ] Algorithm: send Result 7 to 0
[2016-04-20 1:18:28:293 | 7 ] Algorithm: send Result 7 to 1
[2016-04-20 1:18:28:293 | 7 ] Algorithm: send Result 7 to 2
[2016-04-20 1:18:28:294 | 7 ] SendResult Error: Crash Error 3
